prb0.0005
2025-05-14 13:12:16
Dł. fali (nm);Absorbancja
425,00;-0,140696
424,00;-0,142696
423,00;-0,140014
422,00;-0,141614
421,00;-0,143618
420,00;-0,145581
419,00;-0,144764
418,00;-0,142076
417,00;-0,145226
416,00;-0,145292
415,00;-0,146078
414,00;-0,143754
413,00;-0,145029
412,00;-0,135328
411,00;-0,143479
410,00;-0,139393
409,00;-0,142491
408,00;-0,142456
407,00;-0,134987
406,00;-0,137047
405,00;-0,141593
404,00;-0,138346
403,00;-0,137264
402,00;-0,137352
401,00;-0,133626
400,00;-0,128954


prb0.0004
2025-05-14 13:13:48
Dł. fali (nm);Absorbancja
750,00;-0,046285
749,00;-0,040974
748,00;-0,041833
747,00;-0,042647
746,00;-0,043923
745,00;-0,042767
744,00;-0,045170
743,00;-0,042749
742,00;-0,042425
741,00;-0,041867
740,00;-0,044260
739,00;-0,043797
738,00;-0,043806
737,00;-0,040580
736,00;-0,044675
735,00;-0,045585
734,00;-0,043369
733,00;-0,043788
732,00;-0,044709
731,00;-0,044066
730,00;-0,044115
729,00;-0,045276
728,00;-0,044848
727,00;-0,044561
726,00;-0,049014
725,00;-0,046304
724,00;-0,047106
723,00;-0,043557
722,00;-0,045840
721,00;-0,045179
720,00;-0,048071
719,00;-0,049306
718,00;-0,048446
717,00;-0,051920
716,00;-0,049405
715,00;-0,047253
714,00;-0,050751
713,00;-0,046484
712,00;-0,047572
711,00;-0,045732
710,00;-0,047762
709,00;-0,048133
708,00;-0,048408
707,00;-0,046137
706,00;-0,045318
705,00;-0,048961
704,00;-0,049609
703,00;-0,048891
702,00;-0,049433
701,00;-0,046046
700,00;-0,047618
699,00;-0,049158
698,00;-0,049270
697,00;-0,048060
696,00;-0,044381
695,00;-0,047834
694,00;-0,045476
693,00;-0,048108
692,00;-0,046230
691,00;-0,047535
690,00;-0,045737
689,00;-0,049441
688,00;-0,046742
687,00;-0,048486
686,00;-0,049503
685,00;-0,046863
684,00;-0,043582
683,00;-0,046646
682,00;-0,046398
681,00;-0,041750
680,00;-0,045231
679,00;-0,043711
678,00;-0,045080
677,00;-0,045804
676,00;-0,046938
675,00;-0,044769
674,00;-0,046797
673,00;-0,045330
672,00;-0,046109
671,00;-0,040242
670,00;-0,043311
669,00;-0,043422
668,00;-0,042729
667,00;-0,042403
666,00;-0,040779
665,00;-0,039597
664,00;-0,045187
663,00;-0,041173
662,00;-0,041809
661,00;-0,041241
660,00;-0,041949
659,00;-0,039783
658,00;-0,042679
657,00;-0,037388
656,00;-0,044524
655,00;-0,040547
654,00;-0,039631
653,00;-0,041876
652,00;-0,036959
651,00;-0,037661
650,00;-0,036714
649,00;-0,039054
648,00;-0,038059
647,00;-0,037578
646,00;-0,040018
645,00;-0,036431
644,00;-0,039145
643,00;-0,039514
642,00;-0,038572
641,00;-0,035233
640,00;-0,033851
639,00;-0,037206
638,00;-0,029937
637,00;-0,036907
636,00;-0,034813
635,00;-0,034068
634,00;-0,036626
633,00;-0,036944
632,00;-0,034610
631,00;-0,035483
630,00;-0,034761
629,00;-0,032856
628,00;-0,034346
627,00;-0,032231
626,00;-0,033641
625,00;-0,035371
624,00;-0,034663
623,00;-0,030958
622,00;-0,031709
621,00;-0,033158
620,00;-0,033100
619,00;-0,028749
618,00;-0,031209
617,00;-0,033123
616,00;-0,034679
615,00;-0,034287
614,00;-0,029851
613,00;-0,034785
612,00;-0,029807
611,00;-0,030644
610,00;-0,030036
609,00;-0,029525
608,00;-0,031935
607,00;-0,031057
606,00;-0,028006
605,00;-0,027787
604,00;-0,028378
603,00;-0,029143
602,00;-0,027965
601,00;-0,028735
600,00;-0,028545
599,00;-0,026941
598,00;-0,025397
597,00;-0,024824
596,00;-0,028357
595,00;-0,023517
594,00;-0,024026
593,00;-0,022724
592,00;-0,024249
591,00;-0,021686
590,00;-0,017592
589,00;-0,015308
588,00;-0,018089
587,00;-0,010075
586,00;-0,014704
585,00;-0,006193
584,00;-0,003298
583,00;-0,000346
582,00;0,005048
581,00;0,012476
580,00;0,015818
579,00;0,025296
578,00;0,034374
577,00;0,045496
576,00;0,052672
575,00;0,062157
574,00;0,073305
573,00;0,076931
572,00;0,082049
571,00;0,091757
570,00;0,095151
569,00;0,099941
568,00;0,104704
567,00;0,103360
566,00;0,105051
565,00;0,105201
564,00;0,103876
563,00;0,104315
562,00;0,103789
561,00;0,105355
560,00;0,106931
559,00;0,109843
558,00;0,117372
557,00;0,125623
556,00;0,128085
555,00;0,141851
554,00;0,150836
553,00;0,162042
552,00;0,172457
551,00;0,188043
550,00;0,203043
549,00;0,210455
548,00;0,215405
547,00;0,225819
546,00;0,223890
545,00;0,227325
544,00;0,228066
543,00;0,219740
542,00;0,217535
541,00;0,207666
540,00;0,200808
539,00;0,196624
538,00;0,192652
537,00;0,190018
536,00;0,187591
535,00;0,189005
534,00;0,189239
533,00;0,192331
532,00;0,199848
531,00;0,204278
530,00;0,215967
529,00;0,222327
528,00;0,225488
527,00;0,230613
526,00;0,236869
525,00;0,233261
524,00;0,231286
523,00;0,226989
522,00;0,222127
521,00;0,209555
520,00;0,209451
519,00;0,200940
518,00;0,188438
517,00;0,177194
516,00;0,171537
515,00;0,162813
514,00;0,159949
513,00;0,157024
512,00;0,158296
511,00;0,158337
510,00;0,157838
509,00;0,163155
508,00;0,163306
507,00;0,166890
506,00;0,164645
505,00;0,159997
504,00;0,155516
503,00;0,151848
502,00;0,140056
501,00;0,134680
500,00;0,125242
499,00;0,118447
498,00;0,112488
497,00;0,104235
496,00;0,095717
495,00;0,093184
494,00;0,085895
493,00;0,084023
492,00;0,082529
491,00;0,076413
490,00;0,079694
489,00;0,079504
488,00;0,077438
487,00;0,067139
486,00;0,070395
485,00;0,066782
484,00;0,060203
483,00;0,054039
482,00;0,048893
481,00;0,043461
480,00;0,038015
479,00;0,030009
478,00;0,031315
477,00;0,023641
476,00;0,023867
475,00;0,015628
474,00;0,012516
473,00;0,013350
472,00;0,012416
471,00;0,004560
470,00;0,008376
469,00;0,004223
468,00;0,005348
467,00;0,003245
466,00;-0,006470
465,00;-0,004367
464,00;-0,009548
463,00;-0,013199
462,00;-0,014187
461,00;-0,014021
460,00;-0,018800
459,00;-0,025509
458,00;-0,025043
457,00;-0,025170
456,00;-0,025801
455,00;-0,026559
454,00;-0,030687
453,00;-0,025558
452,00;-0,034406
451,00;-0,033879
450,00;-0,038738
449,00;-0,038627
448,00;-0,035019
447,00;-0,036849
446,00;-0,039423
445,00;-0,041927
444,00;-0,039877
443,00;-0,042514
442,00;-0,042619
441,00;-0,046224
440,00;-0,050097
439,00;-0,051103
438,00;-0,050108
437,00;-0,046229
436,00;-0,045920
435,00;-0,045786
434,00;-0,048265
433,00;-0,044872
432,00;-0,052403
431,00;-0,050770
430,00;-0,056302
429,00;-0,051395
428,00;-0,047238
427,00;-0,052334
426,00;-0,049791
425,00;-0,052252
424,00;-0,050520
423,00;-0,052079
422,00;-0,057418
421,00;-0,051761
420,00;-0,054644
419,00;-0,052939
418,00;-0,051240
417,00;-0,054722
416,00;-0,058393
415,00;-0,054280
414,00;-0,052548
413,00;-0,054344
412,00;-0,044127
411,00;-0,050954
410,00;-0,050445
409,00;-0,053322
408,00;-0,052879
407,00;-0,046218
406,00;-0,045563
405,00;-0,050648
404,00;-0,050471
403,00;-0,045220
402,00;-0,047225
401,00;-0,047254
400,00;-0,041959


prb0.0003
2025-05-14 13:14:46
Dł. fali (nm);Absorbancja
750,00;-0,040525
749,00;-0,039369
748,00;-0,039461
747,00;-0,041071
746,00;-0,040641
745,00;-0,037653
744,00;-0,042746
743,00;-0,038822
742,00;-0,038977
741,00;-0,037185
740,00;-0,038952
739,00;-0,040669
738,00;-0,038627
737,00;-0,038792
736,00;-0,039835
735,00;-0,042804
734,00;-0,038947
733,00;-0,037593
732,00;-0,042355
731,00;-0,042298
730,00;-0,041284
729,00;-0,043063
728,00;-0,041103
727,00;-0,043618
726,00;-0,045817
725,00;-0,041099
724,00;-0,041884
723,00;-0,041568
722,00;-0,042859
721,00;-0,044978
720,00;-0,042036
719,00;-0,044311
718,00;-0,043613
717,00;-0,046094
716,00;-0,045644
715,00;-0,044458
714,00;-0,044780
713,00;-0,042930
712,00;-0,042638
711,00;-0,043970
710,00;-0,042416
709,00;-0,045339
708,00;-0,045860
707,00;-0,045018
706,00;-0,044034
705,00;-0,042800
704,00;-0,044782
703,00;-0,046638
702,00;-0,045657
701,00;-0,043280
700,00;-0,044232
699,00;-0,045713
698,00;-0,047420
697,00;-0,045382
696,00;-0,043128
695,00;-0,043691
694,00;-0,044375
693,00;-0,043764
692,00;-0,040953
691,00;-0,043653
690,00;-0,042895
689,00;-0,045128
688,00;-0,041370
687,00;-0,044585
686,00;-0,042070
685,00;-0,041474
684,00;-0,038652
683,00;-0,044230
682,00;-0,043837
681,00;-0,040215
680,00;-0,042376
679,00;-0,039671
678,00;-0,042538
677,00;-0,043177
676,00;-0,042233
675,00;-0,037947
674,00;-0,041470
673,00;-0,042394
672,00;-0,039935
671,00;-0,036722
670,00;-0,038551
669,00;-0,041142
668,00;-0,038150
667,00;-0,040232
666,00;-0,036781
665,00;-0,038900
664,00;-0,042815
663,00;-0,037633
662,00;-0,039369
661,00;-0,037742
660,00;-0,038807
659,00;-0,038978
658,00;-0,036755
657,00;-0,030413
656,00;-0,035894
655,00;-0,034968
654,00;-0,034154
653,00;-0,037498
652,00;-0,033621
651,00;-0,037550
650,00;-0,032880
649,00;-0,034485
648,00;-0,034653
647,00;-0,032721
646,00;-0,033953
645,00;-0,034378
644,00;-0,034070
643,00;-0,035739
642,00;-0,031017
641,00;-0,029970
640,00;-0,031495
639,00;-0,032575
638,00;-0,029876
637,00;-0,031476
636,00;-0,031069
635,00;-0,030983
634,00;-0,031659
633,00;-0,032189
632,00;-0,030067
631,00;-0,032743
630,00;-0,029060
629,00;-0,029374
628,00;-0,030272
627,00;-0,030237
626,00;-0,030415
625,00;-0,030066
624,00;-0,031074
623,00;-0,025246
622,00;-0,030854
621,00;-0,031243
620,00;-0,027648
619,00;-0,027590
618,00;-0,028309
617,00;-0,029013
616,00;-0,027852
615,00;-0,030369
614,00;-0,024973
613,00;-0,029075
612,00;-0,027588
611,00;-0,027477
610,00;-0,026817
609,00;-0,025576
608,00;-0,025412
607,00;-0,024687
606,00;-0,022721
605,00;-0,023751
604,00;-0,022114
603,00;-0,024154
602,00;-0,023291
601,00;-0,025082
600,00;-0,025072
599,00;-0,024741
598,00;-0,023695
597,00;-0,020747
596,00;-0,023536
595,00;-0,019996
594,00;-0,017995
593,00;-0,020955
592,00;-0,020075
591,00;-0,016421
590,00;-0,013276
589,00;-0,015354
588,00;-0,010234
587,00;-0,008505
586,00;-0,010494
585,00;-0,000880
584,00;0,001062
583,00;0,007345
582,00;0,008625
581,00;0,017902
580,00;0,021728
579,00;0,031497
578,00;0,038207
577,00;0,050900
576,00;0,057892
575,00;0,068412
574,00;0,078929
573,00;0,084095
572,00;0,088134
571,00;0,095449
570,00;0,103592
569,00;0,107417
568,00;0,113333
567,00;0,110836
566,00;0,112600
565,00;0,112059
564,00;0,108330
563,00;0,112561
562,00;0,111871
561,00;0,113347
560,00;0,114230
559,00;0,117993
558,00;0,124067
557,00;0,133485
556,00;0,137223
555,00;0,151076
554,00;0,160299
553,00;0,172205
552,00;0,182268
551,00;0,196156
550,00;0,210831
549,00;0,220323
548,00;0,226541
547,00;0,237791
546,00;0,236741
545,00;0,238834
544,00;0,237382
543,00;0,230704
542,00;0,229075
541,00;0,217951
540,00;0,209897
539,00;0,205852
538,00;0,201493
537,00;0,201798
536,00;0,197499
535,00;0,198313
534,00;0,199521
533,00;0,202559
532,00;0,208211
531,00;0,213695
530,00;0,227303
529,00;0,232511
528,00;0,237198
527,00;0,241494
526,00;0,247150
525,00;0,247059
524,00;0,244258
523,00;0,239015
522,00;0,233713
521,00;0,221756
520,00;0,218417
519,00;0,209923
518,00;0,198311
517,00;0,185127
516,00;0,179009
515,00;0,175056
514,00;0,170178
513,00;0,165660
512,00;0,166963
511,00;0,167061
510,00;0,168743
509,00;0,173357
508,00;0,170146
507,00;0,172075
506,00;0,173630
505,00;0,168352
504,00;0,166200
503,00;0,160739
502,00;0,152354
501,00;0,144432
500,00;0,132535
499,00;0,124781
498,00;0,123155
497,00;0,113217
496,00;0,103607
495,00;0,099026
494,00;0,094473
493,00;0,089924
492,00;0,090193
491,00;0,084350
490,00;0,087256
489,00;0,084760
488,00;0,083571
487,00;0,075033
486,00;0,077706
485,00;0,070559
484,00;0,069071
483,00;0,061154
482,00;0,055605
481,00;0,052854
480,00;0,038346
479,00;0,037744
478,00;0,033129
477,00;0,029169
476,00;0,026460
475,00;0,022092
474,00;0,022356
473,00;0,014427
472,00;0,021121
471,00;0,011984
470,00;0,013835
469,00;0,007714
468,00;0,010352
467,00;0,005394
466,00;-0,001043
465,00;-0,002873
464,00;-0,006800
463,00;-0,007090
462,00;-0,006641
461,00;-0,010125
460,00;-0,015952
459,00;-0,017947
458,00;-0,021480
457,00;-0,018958
456,00;-0,022621
455,00;-0,022945
454,00;-0,024527
453,00;-0,020421
452,00;-0,026101
451,00;-0,029634
450,00;-0,032604
449,00;-0,033656
448,00;-0,030698
447,00;-0,035310
446,00;-0,034689
445,00;-0,042169
444,00;-0,037952
443,00;-0,038342
442,00;-0,038012
